	genename	annotation
294	CA04g13340	Nls-tir-nbs-lrr resistance protein (Fragment)
295	CA04g13350	Tir-nbs-lrr resistance protein (Fragment)
296	CA04g13800	Leucine-rich repeat family protein / protein kinase family protein
297	CA04g14230	Leucine-rich repeat receptor protein kinase EXS, putative
298	CA04g14940	PREDICTED: probable leucine-rich repeat receptor-like protein kinase At1g35710-like [Solanum tuberosum]
299	CA04g14950	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g08850-like [Solanum tuberosum]
300	CA04g15210	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
301	CA04g15480	PREDICTED: probable leucine-rich repeat receptor-like protein kinase At1g35710-like [Solanum tuberosum]
302	CA04g16350	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g36180-like [Solanum tuberosum]
303	CA04g17790	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g08850-like [Citrus sinensis]
304	CA04g17800	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Citrus sinensis]
305	CA04g19370	Nbs-lrr resistance protein
306	CA05g00030	Cc-nbs-lrr resistance protein
307	CA05g00730	PREDICTED: F-box/LRR-repeat protein At5g63520-like [Solanum lycopersicum]
308	CA05g00740	PREDICTED: F-box/LRR-repeat protein At5g63520-like [Solanum tuberosum]
309	CA05g01140	PREDICTED: leucine-rich repeat receptor-like tyrosine-protein kinase At2g41820-like [Solanum lycopersicum]
310	CA05g01170	Leucine-rich repeat containing protein, putative
311	CA05g01180	NBS-LRR protein (Fragment)
312	CA05g01190	Leucine-rich repeat containing protein, putative
313	CA05g01210	Leucine-rich repeat containing protein, putative
314	CA05g01220	Leucine-rich repeat containing protein, putative
315	CA05g02000	PREDICTED: LRR receptor-like serine/threonine-protein kinase FLS2-like [Solanum lycopersicum]
316	CA05g02010	PREDICTED: LRR receptor-like serine/threonine-protein kinase ERL2-like [Solanum tuberosum]
317	CA05g02040	PREDICTED: LRR receptor-like serine/threonine-protein kinase FLS2-like [Solanum lycopersicum]
318	CA05g02090	CC-NBS-LRR type resistance protein (Fragment)
319	CA05g02230	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
320	CA05g02240	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
321	CA05g02250	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
322	CA05g02260	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
323	CA05g02270	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
324	CA05g02280	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
325	CA05g02290	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
326	CA05g02300	PREDICTED: LRR receptor-like serine/threonine-protein kinase FLS2-like [Solanum tuberosum]
327	CA05g02310	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
328	CA05g02340	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
329	CA05g02350	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
330	CA05g02360	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
331	CA05g02370	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
332	CA05g02380	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
333	CA05g02390	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
334	CA05g02420	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
335	CA05g02440	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
336	CA05g02650	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
337	CA05g02670	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
338	CA05g02730	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
339	CA05g02740	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
340	CA05g02750	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
341	CA05g02760	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
342	CA05g02770	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
343	CA05g02780	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
344	CA05g02790	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
345	CA05g03880	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
346	CA05g05460	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
347	CA05g05520	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
348	CA05g05530	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
349	CA05g05570	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
350	CA05g05590	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
351	CA05g05810	PREDICTED: F-box/LRR-repeat protein 2-like [Solanum tuberosum]
352	CA05g06470	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
353	CA05g06750	Putative leucine-rich repeat resistance protein, identical
354	CA05g07840	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
355	CA05g08430	Leucine-rich repeat receptor-like kinase
356	CA05g08950	Leucine-rich repeat receptor-like kinase
357	CA05g08960	Leucine-rich repeat receptor-like kinase
358	CA05g11040	Leucine-rich repeat protein, putative
359	CA05g12420	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
360	CA05g12430	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
361	CA05g13330	Leucine-rich repeat receptor-like protein kinase
362	CA05g13820	NBS-coding resistance gene analog (Fragment)
363	CA05g13860	NBS-LRR resistance protein-like protein
364	CA05g14070	LRR and NB-ARC domains-containing disease resistance protein, putative isoform 1 [Theobroma cacao]
365	CA05g14310	NBS-coding resistance gene analog (Fragment)
366	CA05g14410	PREDICTED: leucine-rich repeat receptor-like protein kinase TDR-like [Solanum lycopersicum]
367	CA05g15250	NBS-coding resistance gene analog (Fragment)
368	CA05g15340	NBS-LRR resistance protein-like protein
369	CA05g15440	NBS-LRR resistance protein-like protein
370	CA05g15550	PREDICTED: probably inactive leucine-rich repeat receptor-like protein kinase IMK2-like [Solanum tuberosum]
371	CA05g15600	NBS-LRR resistance protein-like protein
372	CA05g15650	NBS-LRR resistance protein-like protein
373	CA05g16420	Truncated NBS-LRR resistance protein-like protein
374	CA05g18570	Leucine-rich repeat receptor protein kinase EXS, putative
375	CA05g18600	LRR protein WM1.2
376	CA05g18830	NBS-LRR resistance protein-like protein
377	CA05g18930	NBS-coding resistance gene analog (Fragment)
378	CA05g18960	NBS-coding resistance gene analog (Fragment)
379	CA05g19400	Leucine-rich repeat receptor protein kinase EXS, putative
380	CA05g19420	Leucine-rich repeat receptor protein kinase EXS, putative
381	CA05g19430	Leucine-rich repeat receptor protein kinase EXS, putative
382	CA05g19440	Leucine-rich repeat receptor protein kinase EXS, putative
383	CA05g19450	Leucine-rich repeat receptor protein kinase EXS, putative
384	CA05g19460	Leucine-rich repeat receptor protein kinase EXS, putative
385	CA05g19470	Leucine-rich repeat receptor protein kinase EXS, putative
386	CA05g19500	Leucine-rich repeat receptor protein kinase EXS, putative
387	CA05g19510	Leucine-rich repeat receptor protein kinase EXS, putative
388	CA05g19520	Leucine-rich repeat receptor protein kinase EXS, putative
389	CA05g19890	NBS-coding resistance gene analog (Fragment)
390	CA06g00530	Truncated NBS-LRR resistance protein-like protein
391	CA06g00610	NBS-LRR resistance protein-like protein
392	CA06g00650	NBS-LRR resistance protein-like protein
393	CA06g00710	NBS-LRR resistance protein-like protein
394	CA06g00720	NBS-LRR resistance protein-like protein
395	CA06g00730	NBS-LRR root-knot nematode resistance protein
396	CA06g00760	NBS-LRR resistance protein-like protein
397	CA06g00820	Truncated NBS-LRR resistance protein-like protein
398	CA06g00840	NBS-coding resistance gene analog (Fragment)
399	CA06g00870	TIR1-like protein
400	CA06g00890	NBS-LRR resistance protein-like protein
401	CA06g00910	NBS-LRR resistance protein-like protein
402	CA06g00930	NBS-LRR resistance protein-like protein
403	CA06g00940	NBS-LRR resistance protein-like protein
404	CA06g00950	NBS-LRR resistance protein-like protein
405	CA06g00970	NBS-LRR root-knot nematode resistance protein
406	CA06g00980	NBS-LRR root-knot nematode resistance protein
407	CA06g00990	NBS-LRR resistance protein-like protein
408	CA06g01010	NBS-LRR resistance protein-like protein
409	CA06g01040	NBS-LRR resistance protein-like protein
410	CA06g01130	NBS-LRR resistance protein-like protein
411	CA06g01350	NBS-LRR resistance protein-like protein
412	CA06g01730	NBS-LRR resistance protein-like protein
413	CA06g01760	NBS-LRR resistance protein-like protein
414	CA06g02020	NBS-coding resistance gene analog (Fragment)
415	CA06g02070	NBS-LRR resistance protein-like protein
416	CA06g02080	NBS-LRR resistance protein-like protein
417	CA06g02100	NBS-LRR resistance protein-like protein
418	CA06g02110	NBS-LRR resistance protein-like protein
419	CA06g02150	NBS-LRR resistance protein-like protein
420	CA06g02160	NBS-LRR resistance protein-like protein
421	CA06g02420	NBS-LRR root-knot nematode resistance protein
422	CA06g02450	NBS-LRR resistance protein-like protein
423	CA06g02470	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
424	CA06g02650	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Vitis vinifera]
425	CA06g02700	NBS-LRR resistance protein-like protein
426	CA06g02810	NBS-LRR resistance protein-like protein
427	CA06g03110	Leucine-rich repeat receptor protein kinase EXS, putative
428	CA06g03230	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g74360-like [Solanum lycopersicum]
429	CA06g03400	NBS-LRR resistance protein-like protein
430	CA06g03410	NBS-LRR resistance protein-like protein
431	CA06g03460	NBS-LRR resistance protein-like protein
432	CA06g03620	NBS-LRR resistance protein-like protein
433	CA06g03650	NBS-LRR resistance protein-like protein
434	CA06g03660	PREDICTED: LRR repeats and ubiquitin-like domain-containing protein At2g30105-like [Solanum tuberosum]
435	CA06g05050	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
436	CA06g05060	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
437	CA06g05070	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
438	CA06g05100	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
439	CA06g05120	NBS-LRR resistance protein-like protein
440	CA06g05180	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
441	CA06g05200	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
442	CA06g05230	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
443	CA06g06190	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
444	CA06g06200	PREDICTED: LRR receptor-like serine/threonine-protein kinase FLS2-like [Solanum tuberosum]
445	CA06g06210	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
446	CA06g06230	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
447	CA06g07500	Leucine-rich repeat transmembrane protein kinase, putative [Theobroma cacao]
448	CA06g07610	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
449	CA06g08100	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Citrus sinensis]
450	CA06g10160	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum lycopersicum]
451	CA06g10840	CC-NBS-LRR type resistance-like protein
452	CA06g10860	CC-NBS-LRR type resistance protein (Fragment)
453	CA06g12380	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
454	CA06g14730	CC-NBS-LRR type resistance protein (Fragment)
455	CA06g14740	CC-NBS-LRR type resistance protein (Fragment)
456	CA06g14800	NBS-coding resistance gene protein (Fragment)
457	CA06g14860	NBS-coding resistance gene protein (Fragment)
458	CA06g15040	NBS-coding resistance gene protein (Fragment)
459	CA06g15060	NBS-containing resistance-like protein
460	CA06g15500	Leucine-rich repeat receptor-like protein kinase (Fragment)
461	CA06g16080	F-box/LRR-repeat protein
462	CA06g16180	PREDICTED: putative leucine-rich repeat-containing protein DDB_G0290503-like [Solanum tuberosum]
463	CA06g16290	PREDICTED: putative F-box/LRR-repeat protein At5g02700-like [Solanum tuberosum]
464	CA06g18700	Brassinosteroid LRR receptor kinase, putative
465	CA06g18940	Leucine-rich repeat receptor protein kinase EXS, putative
466	CA06g18980	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
467	CA06g25250	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
468	CA06g26250	Probably inactive leucine-rich repeat receptor-like protein kinase
469	CA06g26680	Leucine-rich repeat family protein
470	CA06g27750	PREDICTED: F-box/LRR-repeat protein 17-like [Solanum lycopersicum]
471	CA07g00260	LRR receptor-like serine/threonine-protein kinase [Theobroma cacao]
472	CA07g00420	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
473	CA07g00750	NBS-coding resistance gene analog (Fragment)
474	CA07g00790	NBS-coding resistance gene analog (Fragment)
475	CA07g00810	NBS-coding resistance gene analog (Fragment)
476	CA07g00850	NBS-coding resistance gene analog (Fragment)
477	CA07g00960	NBS-coding resistance gene analog (Fragment)
478	CA07g01000	NBS-coding resistance gene analog (Fragment)
479	CA07g01030	NBS-coding resistance gene analog (Fragment)
480	CA07g01120	NBS-coding resistance gene analog (Fragment)
481	CA07g01720	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
482	CA07g06770	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Vitis vinifera]
483	CA07g07240	PREDICTED: pollen-specific leucine-rich repeat extensin-like protein 1-like [Solanum tuberosum]
484	CA07g07540	Putative leucine-rich repeat resistance protein, identical
485	CA07g08730	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g36180-like [Solanum lycopersicum]
486	CA07g08810	Leucine-rich repeat-containing protein, putative
487	CA07g08970	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
488	CA07g12620	NBS-LRR type disease resistance protein
489	CA07g12630	NBS-LRR type disease resistance protein
490	CA07g12640	NBS-LRR type disease resistance protein
491	CA07g13210	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
492	CA07g13260	F-box/FBD/LRR-repeat protein
493	CA07g13280	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum lycopersicum]
494	CA07g13300	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum lycopersicum]
495	CA07g13370	LRR receptor-like kinase
496	CA07g13380	LRR receptor-like kinase
497	CA07g13390	LRR receptor-like kinase
498	CA07g14100	PREDICTED: pollen-specific leucine-rich repeat extensin-like protein 1-like [Citrus sinensis]
499	CA07g15990	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like isoform X2 [Solanum tuberosum]
500	CA07g16030	PREDICTED: LRR receptor-like serine/threonine-protein kinase FLS2-like [Vitis vinifera]
501	CA07g16290	PREDICTED: leucine-rich repeat receptor-like serine/threonine-protein kinase At1g17230-like [Solanum tuberosum]
502	CA07g16340	PREDICTED: leucine-rich repeat extensin-like protein 3-like [Citrus sinensis]
503	CA07g19460	F-box/LRR-repeat protein
504	CA07g20140	Leucine-rich repeat receptor-like protein kinase
505	CA07g21220	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g56130-like [Cucumis sativus]
506	CA08g00290	NBS-coding resistance gene analog (Fragment)
507	CA08g00980	Leucine-rich repeat receptor-like protein kinase (Fragment)
508	CA08g01420	NBS-coding resistance gene analog (Fragment)
509	CA08g01980	NBS-coding resistance gene protein (Fragment)
510	CA08g02000	NBS-LRR protein
511	CA08g02100	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g08850-like [Citrus sinensis]
512	CA08g03970	PREDICTED: putative F-box/LRR-repeat protein At3g28410-like [Solanum tuberosum]
513	CA08g12970	Leucine-rich repeat-containing protein, putative
514	CA08g13570	Leucine-rich repeat family protein / protein kinase family protein
515	CA08g13740	Leucine-rich repeat-containing protein, putative
516	CA08g13750	Leucine-rich repeat-containing protein, putative
517	CA08g13780	Leucine-rich repeat-containing protein, putative
518	CA08g13800	Leucine-rich repeat-containing protein, putative
519	CA08g13810	Leucine-rich repeat-containing protein, putative
520	CA08g14700	Leucine-rich repeat-containing protein, putative
521	CA08g17840	LRR receptor-like protein kinase
522	CA08g17900	pollen-specific leucine-rich repeat extensin-like protein 4 [Arabidopsis thaliana]
523	CA08g19120	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum lycopersicum]
524	CA08g19640	F-box/LRR-repeat protein
525	CA09g00400	PREDICTED: F-box/FBD/LRR-repeat protein At3g52680-like [Solanum tuberosum]
526	CA09g00670	Nucleotide binding site and leucine rich repeat protein 3 (Fragment)
527	CA09g00940	PREDICTED: F-box/LRR-repeat protein At1g67190-like [Solanum tuberosum]
528	CA09g01260	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
529	CA09g02860	PREDICTED: F-box/FBD/LRR-repeat protein At2g26030-like [Solanum tuberosum]
530	CA09g03260	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g67720-like [Solanum tuberosum]
531	CA09g04020	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g53430-like isoform X1 [Solanum tuberosum]
532	CA09g04030	PREDICTED: putative F-box/LRR-repeat protein At5g02700-like [Solanum lycopersicum]
533	CA09g04050	PREDICTED: putative F-box/LRR-repeat protein At5g02700-like [Solanum lycopersicum]
534	CA09g04270	F-box/LRR-repeat protein
535	CA09g07620	BED finger-nbs-lrr resistance protein
536	CA09g07630	BED finger-nbs-lrr resistance protein
537	CA09g07960	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
538	CA09g08580	Putative leucine-rich repeat resistance protein, identical
539	CA09g10630	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g06840-like isoform X1 [Citrus sinensis]
540	CA09g11470	Nbs-lrr resistance protein
541	CA09g12340	PREDICTED: probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840-like [Solanum lycopersicum]
542	CA09g12500	Brassinosteroid LRR receptor kinase, putative
543	CA09g12760	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g53430-like [Vitis vinifera]
544	CA09g13930	NBS-coding resistance gene analog (Fragment)
545	CA09g13950	NBS-coding resistance gene analog (Fragment)
546	CA09g13960	NBS-coding resistance gene analog (Fragment)
547	CA09g14080	Leucine-rich repeat-containing protein, putative
548	CA09g14550	NBS-coding resistance gene analog (Fragment)
549	CA09g14610	NBS-coding resistance gene analog (Fragment)
550	CA09g15430	NBS-coding resistance gene analog (Fragment)
551	CA09g15760	PREDICTED: leucine-rich repeat extensin-like protein 3-like [Citrus sinensis]
552	CA09g15850	NBS-coding resistance gene analog (Fragment)
553	CA09g15880	NBS-coding resistance gene analog (Fragment)
554	CA09g15930	NBS-coding resistance gene analog (Fragment)
555	CA09g16060	NBS-coding resistance gene analog (Fragment)
556	CA09g16080	NBS-coding resistance gene analog (Fragment)
557	CA09g16110	NBS-coding resistance gene analog (Fragment)
558	CA09g16200	NBS-coding resistance gene analog (Fragment)
559	CA09g16260	NBS-coding resistance gene analog (Fragment)
560	CA09g16930	BED finger-nbs-lrr resistance protein
561	CA09g17010	BED finger-nbs-lrr resistance protein
562	CA09g17020	NBS-LRR type disease resistance protein (Fragment)
563	CA09g17030	Nbs-lrr resistance protein
564	CA09g17050	Nbs-lrr resistance protein
565	CA09g17060	BED finger-nbs-lrr resistance protein
566	CA09g17070	BED finger-nbs-lrr resistance protein
567	CA09g17080	BED finger-nbs-lrr resistance protein
568	CA09g17100	BED finger-nbs resistance protein
569	CA09g17110	BED finger-nbs-lrr resistance protein
570	CA09g17210	Leucine-rich repeat receptor-like protein kinase
571	CA09g17470	NBS-coding resistance gene analog (Fragment)
572	CA09g17520	NBS-coding resistance gene analog (Fragment)
573	CA09g17550	NBS-coding resistance gene analog (Fragment)
574	CA09g17580	NBS-coding resistance gene analog (Fragment)
575	CA09g17590	NBS-coding resistance gene analog (Fragment)
576	CA09g17630	NBS-coding resistance gene analog (Fragment)
577	CA09g17670	NBS-coding resistance gene analog (Fragment)
578	CA09g17700	NBS-coding resistance gene analog (Fragment)
579	CA10g01730	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
580	CA10g01880	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
581	CA10g05010	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At2g16250-like [Solanum tuberosum]
582	CA10g07290	Leucine-rich repeat family protein
583	CA10g07890	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At2g16250-like isoform X1 [Citrus sinensis]
584	CA10g09630	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g74360-like [Solanum lycopersicum]
585	CA10g10550	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g06840-like [Solanum tuberosum]
586	CA10g10560	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g06840-like [Solanum tuberosum]
587	CA10g11340	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
588	CA10g11430	F-box/FBD/LRR-repeat protein
589	CA10g13030	NBS-coding resistance gene analog (Fragment)
590	CA10g13240	TIR-NBS-LRR type disease resistance protein [Medicago truncatula]
591	CA10g15870	NBS resistance protein
592	CA10g16060	Leucine-rich repeat receptor protein kinase EXS
593	CA10g16470	PREDICTED: F-box/LRR-repeat protein At1g67190-like [Solanum tuberosum]
594	CA10g18000	NBS-coding resistance gene analog (Fragment)
595	CA10g18050	NBS-coding resistance gene analog (Fragment)
596	CA10g18330	PREDICTED: probable inactive leucine-rich repeat receptor-like protein kinase At3g03770-like [Solanum tuberosum]
597	CA10g18520	LRR protein
598	CA10g19760	NBS resistance protein
599	CA10g19790	Nbs-lrr resistance protein
600	CA10g19900	NBS-LRR disease resistance protein (Fragment)
601	CA10g20470	PREDICTED: leucine-rich repeat receptor-like tyrosine-protein kinase At2g41820-like [Solanum tuberosum]
602	CA11g02190	Leucine-rich repeat receptor-like kinase
603	CA11g02200	F-box/FBD/LRR-repeat protein
604	CA11g02210	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum lycopersicum]
605	CA11g02230	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
606	CA11g02450	Nucleotide-binding site leucine-rich repeat protein (Fragment)
607	CA11g02680	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g07550-like [Solanum tuberosum]
608	CA11g02930	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
609	CA11g02940	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
610	CA11g04630	PREDICTED: F-box/LRR-repeat protein At3g03360-like [Solanum tuberosum]
611	CA11g04830	NBS-coding resistance gene analog (Fragment)
612	CA11g06180	Leucine-rich repeat containing protein, putative
613	CA11g06190	Leucine-rich repeat containing protein, putative
614	CA11g06210	Leucine-rich repeat containing protein, putative
615	CA11g06220	Tir-nbs-lrr resistance protein
616	CA11g06230	Tir-nbs-lrr resistance protein
617	CA11g08110	Leucine-rich repeat receptor-like kinase
618	CA11g10920	Leucine-rich repeat protein
619	CA11g11210	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g67720-like [Vitis vinifera]
620	CA11g11220	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g67720-like [Vitis vinifera]
621	CA11g13460	PREDICTED: putative leucine-rich repeat receptor-like protein kinase At2g19210-like [Solanum tuberosum]
622	CA11g14040	NBS-coding resistance gene analog (Fragment)
623	CA11g14390	CC-NBS-LRR protein
624	CA11g15590	CC-NBS-LRR type resistance-like protein (Fragment)
625	CA11g16800	CC-NBS-LRR type resistance protein (Fragment)
626	CA11g16810	CC-NBS-LRR type resistance protein (Fragment)
627	CA11g16830	CC-NBS-LRR type resistance protein (Fragment)
628	CA11g16840	CC-NBS-LRR type resistance-like protein
629	CA11g16950	CC-NBS-LRR type resistance-like protein
630	CA11g16960	CC-NBS-LRR type resistance protein (Fragment)
631	CA11g17000	CC-NBS-LRR type resistance protein
632	CA11g17190	CC-NBS-LRR type resistance protein (Fragment)
633	CA11g17200	CC-NBS-LRR type resistance-like protein
634	CA11g17210	CC-NBS-LRR type resistance protein (Fragment)
635	CA11g17230	CC-NBS-LRR type resistance protein (Fragment)
636	CA11g17260	CC-NBS-LRR type resistance protein (Fragment)
637	CA11g17270	CC-NBS-LRR type resistance protein (Fragment)
638	CA11g17290	CC-NBS-LRR type resistance protein (Fragment)
639	CA11g17300	CC-NBS-LRR type resistance protein (Fragment)
640	CA11g18720	CC-NBS-LRR type resistance protein (Fragment)
641	CA11g19380	CC-NBS-LRR type resistance protein (Fragment)
642	CA11g19450	CC-NBS-LRR type resistance protein (Fragment)
643	CA11g19460	CC-NBS-LRR type resistance protein (Fragment)
644	CA11g19470	CC-NBS-LRR type resistance protein (Fragment)
645	CA11g19770	CC-NBS-LRR type resistance protein (Fragment)
646	CA11g19780	CC-NBS-LRR type resistance protein
647	CA11g19810	CC-NBS-LRR type resistance protein (Fragment)
648	CA11g19820	CC-NBS-LRR type resistance protein (Fragment)
649	CA11g19830	CC-NBS-LRR type resistance protein (Fragment)
650	CA11g19840	CC-NBS-LRR type resistance protein (Fragment)
651	CA11g19850	CC-NBS-LRR type resistance protein
652	CA11g19860	CC-NBS-LRR type resistance protein (Fragment)
653	CA11g19900	CC-NBS-LRR type resistance protein (Fragment)
654	CA11g19910	CC-NBS-LRR type resistance protein (Fragment)
655	CA11g19920	CC-NBS-LRR type resistance protein (Fragment)
656	CA11g19930	CC-NBS-LRR type resistance protein (Fragment)
657	CA11g19950	CC-NBS-LRR type resistance protein (Fragment)
658	CA12g01950	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum lycopersicum]
659	CA12g01960	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like, partial [Solanum tuberosum]
660	CA12g01970	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum lycopersicum]
